ticker,ym,month_end,revenue
3081,2025-11,2025-11-01,201479000
3081,2025-10,2025-10-01,186272000
3081,2025-09,2025-09-01,185285000
3081,2025-08,2025-08-01,181246000
3081,2025-07,2025-07-01,184322000
3081,2025-06,2025-06-01,185217000
3081,2025-05,2025-05-01,183555000
3081,2025-04,2025-04-01,181318000
3081,2025-03,2025-03-01,151644000
3081,2025-02,2025-02-01,121540000
3081,2025-01,2025-01-01,89084000
3081,2024-12,2024-12-01,85131000
3081,2024-11,2024-11-01,114595000
3081,2024-10,2024-10-01,110497000
3081,2024-09,2024-09-01,107291000
3081,2024-08,2024-08-01,105257000
3081,2024-07,2024-07-01,101560000
3081,2024-06,2024-06-01,68682000
3081,2024-05,2024-05-01,102346000
3081,2024-04,2024-04-01,110324000
3081,2024-03,2024-03-01,100496000
3081,2024-02,2024-02-01,113159000
3081,2024-01,2024-01-01,110473000
3081,2023-12,2023-12-01,105453000
3081,2023-11,2023-11-01,80821000
3081,2023-10,2023-10-01,62746000
3105,2026-09,2026-09-01,1937397000
3105,2026-08,2026-08-01,1892049000
3105,2026-07,2026-07-01,1767694000
3105,2026-06,2026-06-01,1755488000
3105,2026-05,2026-05-01,1734086000
3105,2026-04,2026-04-01,1648656000
3105,2026-03,2026-03-01,1473703000
3105,2026-02,2026-02-01,1467701000
3105,2026-01,2026-01-01,1614459000
3105,2025-12,2025-12-01,1620599000
3105,2025-11,2025-11-01,1559396000
3105,2025-10,2025-10-01,1560931000
3105,2025-09,2025-09-01,1484003000
3105,2025-08,2025-08-01,1442357000
3105,2025-07,2025-07-01,1364461000
3105,2025-06,2025-06-01,1251261000
3105,2025-05,2025-05-01,1164676000
3105,2025-04,2025-04-01,1228088000
3105,2025-03,2025-03-01,1170381000
3105,2025-02,2025-02-01,1177334000
3105,2025-01,2025-01-01,1229948000
3105,2024-12,2024-12-01,1250441000
3105,2024-11,2024-11-01,1225676000
3105,2024-10,2024-10-01,1235694000
3105,2024-09,2024-09-01,1501179000
3105,2024-08,2024-08-01,1610948000
3105,2024-07,2024-07-01,1665949000
3105,2024-06,2024-06-01,1653217000
3105,2024-05,2024-05-01,1642260000
3105,2024-04,2024-04-01,1613349000
3105,2024-03,2024-03-01,1315488000
3105,2024-02,2024-02-01,1514003000
3105,2024-01,2024-01-01,1667234000
3105,2023-12,2023-12-01,1610421000
3105,2023-11,2023-11-01,1590381000
3105,2023-10,2023-10-01,1381594000
3163,2026-09,2026-09-01,205091000
3163,2026-08,2026-08-01,210064000
3163,2026-07,2026-07-01,181188000
3163,2026-06,2026-06-01,211521000
3163,2026-05,2026-05-01,199142000
3163,2026-04,2026-04-01,247473000
3163,2026-03,2026-03-01,173919000
3163,2026-02,2026-02-01,234703000
3163,2026-01,2026-01-01,223394000
3163,2025-12,2025-12-01,213422000
3163,2025-11,2025-11-01,186088000
3163,2025-10,2025-10-01,190099000
3163,2025-09,2025-09-01,186973000
3163,2025-08,2025-08-01,163280000
3163,2025-07,2025-07-01,204803000
3163,2025-06,2025-06-01,162745000
3163,2025-05,2025-05-01,170936000
3163,2025-04,2025-04-01,200110000
3163,2025-03,2025-03-01,165097000
3163,2025-02,2025-02-01,158704000
3163,2025-01,2025-01-01,166142000
3163,2024-12,2024-12-01,152549000
3163,2024-11,2024-11-01,157909000
3163,2024-10,2024-10-01,168434000
3163,2024-09,2024-09-01,140363000
3163,2024-08,2024-08-01,147626000
3163,2024-07,2024-07-01,176791000
3163,2024-06,2024-06-01,130878000
3163,2024-05,2024-05-01,151778000
3163,2024-04,2024-04-01,156182000
3163,2024-03,2024-03-01,155064000
3163,2024-02,2024-02-01,237554000
3163,2024-01,2024-01-01,268317000
3163,2023-12,2023-12-01,274338000
3163,2023-11,2023-11-01,262123000
3163,2023-10,2023-10-01,251460000
3189,2026-09,2026-09-01,4809631000
3189,2026-08,2026-08-01,4548833000
3189,2026-07,2026-07-01,4224069000
3189,2026-06,2026-06-01,4199867000
3189,2026-05,2026-05-01,4072319000
3189,2026-04,2026-04-01,3939324000
3189,2026-03,2026-03-01,3204487000
3189,2026-02,2026-02-01,3961154000
3189,2026-01,2026-01-01,3688833000
3189,2025-12,2025-12-01,3521383000
3189,2025-11,2025-11-01,3601222000
3189,2025-10,2025-10-01,3586439000
3189,2025-09,2025-09-01,3421382000
3189,2025-08,2025-08-01,3348367000
3189,2025-07,2025-07-01,3193580000
3189,2025-06,2025-06-01,3157305000
3189,2025-05,2025-05-01,3212841000
3189,2025-04,2025-04-01,3150041000
3189,2025-03,2025-03-01,2913173000
3189,2025-02,2025-02-01,2556530000
3189,2025-01,2025-01-01,2945583000
3189,2024-12,2024-12-01,2520732000
3189,2024-11,2024-11-01,2576678000
3189,2024-10,2024-10-01,2646537000
3189,2024-09,2024-09-01,2858462000
3189,2024-08,2024-08-01,2692121000
3189,2024-07,2024-07-01,2400808000
3189,2024-06,2024-06-01,2511206000
3189,2024-05,2024-05-01,2388468000
3189,2024-04,2024-04-01,2443094000
3189,2024-03,2024-03-01,2238258000
3189,2024-02,2024-02-01,2313032000
3189,2024-01,2024-01-01,2450705000
3189,2023-12,2023-12-01,2530422000
3189,2023-11,2023-11-01,2508336000
3189,2023-10,2023-10-01,1978409000
3324,2026-09,2026-09-01,3141249000
3324,2026-08,2026-08-01,3765466000
3324,2026-07,2026-07-01,2718035000
3324,2026-06,2026-06-01,3138892000
3324,2026-05,2026-05-01,2842339000
3324,2026-04,2026-04-01,3329237000
3324,2026-03,2026-03-01,2178371000
3324,2026-02,2026-02-01,3041929000
3324,2026-01,2026-01-01,2821521000
3324,2025-12,2025-12-01,2443608000
3324,2025-11,2025-11-01,2329545000
3324,2025-10,2025-10-01,2340447000
3324,2025-09,2025-09-01,1878969000
3324,2025-08,2025-08-01,1737663000
3324,2025-07,2025-07-01,1676452000
3324,2025-06,2025-06-01,1620073000
3324,2025-05,2025-05-01,2017328000
3324,2025-04,2025-04-01,1736460000
3324,2025-03,2025-03-01,1304802000
3324,2025-02,2025-02-01,1372849000
3324,2025-01,2025-01-01,1359779000
3324,2024-12,2024-12-01,1370207000
3324,2024-11,2024-11-01,1395643000
3324,2024-10,2024-10-01,1424051000
3324,2024-09,2024-09-01,1424957000
3324,2024-08,2024-08-01,1368352000
3324,2024-07,2024-07-01,1691726000
3324,2024-06,2024-06-01,1375562000
3324,2024-05,2024-05-01,1215790000
3324,2024-04,2024-04-01,1137224000
3324,2024-03,2024-03-01,734828000
3324,2024-02,2024-02-01,1277332000
3324,2024-01,2024-01-01,1012516000
3324,2023-12,2023-12-01,1134393000
3324,2023-11,2023-11-01,1198024000
3324,2023-10,2023-10-01,1234989000
3363,2026-09,2026-09-01,204482000
3363,2026-08,2026-08-01,170843000
3363,2026-07,2026-07-01,157445000
3363,2026-06,2026-06-01,143800000
3363,2026-05,2026-05-01,127943000
3363,2026-04,2026-04-01,117274000
3363,2026-03,2026-03-01,128013000
3363,2026-02,2026-02-01,136682000
3363,2026-01,2026-01-01,131042000
3363,2025-12,2025-12-01,125440000
3363,2025-11,2025-11-01,134292000
3363,2025-10,2025-10-01,174688000
3363,2025-09,2025-09-01,180642000
3363,2025-08,2025-08-01,152411000
3363,2025-07,2025-07-01,186770000
3363,2025-06,2025-06-01,191237000
3363,2025-05,2025-05-01,204069000
3363,2025-04,2025-04-01,157864000
3363,2025-03,2025-03-01,100272000
3363,2025-02,2025-02-01,153267000
3363,2025-01,2025-01-01,107627000
3363,2024-12,2024-12-01,150187000
3363,2024-11,2024-11-01,102062000
3363,2024-10,2024-10-01,122342000
3363,2024-09,2024-09-01,126641000
3363,2024-08,2024-08-01,133715000
3363,2024-07,2024-07-01,124041000
3363,2024-06,2024-06-01,115703000
3363,2024-05,2024-05-01,113020000
3363,2024-04,2024-04-01,108199000
3363,2024-03,2024-03-01,71672000
3363,2024-02,2024-02-01,88668000
3363,2024-01,2024-01-01,117796000
3363,2023-12,2023-12-01,107961000
3363,2023-11,2023-11-01,111518000
3363,2023-10,2023-10-01,98200000
3450,2026-09,2026-09-01,1247981000
3450,2026-08,2026-08-01,1218533000
3450,2026-07,2026-07-01,1138635000
3450,2026-06,2026-06-01,960221000
3450,2026-05,2026-05-01,877785000
3450,2026-04,2026-04-01,727713000
3450,2026-03,2026-03-01,607616000
3450,2026-02,2026-02-01,751552000
3450,2026-01,2026-01-01,791973000
3450,2025-12,2025-12-01,631105000
3450,2025-11,2025-11-01,698870000
3450,2025-10,2025-10-01,645366000
3450,2025-09,2025-09-01,594962000
3450,2025-08,2025-08-01,615415000
3450,2025-07,2025-07-01,605082000
3450,2025-06,2025-06-01,640520000
3450,2025-05,2025-05-01,603299000
3450,2025-04,2025-04-01,977959000
3450,2025-03,2025-03-01,958464000
3450,2025-02,2025-02-01,821579000
3450,2025-01,2025-01-01,824908000
3450,2024-12,2024-12-01,786997000
3450,2024-11,2024-11-01,864645000
3450,2024-10,2024-10-01,797761000
3450,2024-09,2024-09-01,658197000
3450,2024-08,2024-08-01,644812000
3450,2024-07,2024-07-01,540921000
3450,2024-06,2024-06-01,575706000
3450,2024-05,2024-05-01,588227000
3450,2024-04,2024-04-01,477340000
3450,2024-03,2024-03-01,385194000
3450,2024-02,2024-02-01,422954000
3450,2024-01,2024-01-01,454498000
3450,2023-12,2023-12-01,484156000
3450,2023-11,2023-11-01,499660000
3450,2023-10,2023-10-01,489071000
3665,2026-09,2026-09-01,8891805000
3665,2026-08,2026-08-01,9630165000
3665,2026-07,2026-07-01,8518109000
3665,2026-06,2026-06-01,7352121000
3665,2026-05,2026-05-01,7382955000
3665,2026-04,2026-04-01,7013696000
3665,2026-03,2026-03-01,6387852000
3665,2026-02,2026-02-01,7455820000
3665,2026-01,2026-01-01,6640666000
3665,2025-12,2025-12-01,6538775000
3665,2025-11,2025-11-01,6581490000
3665,2025-10,2025-10-01,6706222000
3665,2025-09,2025-09-01,5774218000
3665,2025-08,2025-08-01,6034282000
3665,2025-07,2025-07-01,5200632000
3665,2025-06,2025-06-01,5201409000
3665,2025-05,2025-05-01,6228086000
3665,2025-04,2025-04-01,5738989000
3665,2025-03,2025-03-01,5001880000
3665,2025-02,2025-02-01,5555836000
3665,2025-01,2025-01-01,4641987000
3665,2024-12,2024-12-01,4910750000
3665,2024-11,2024-11-01,4911147000
3665,2024-10,2024-10-01,4589632000
3665,2024-09,2024-09-01,4558801000
3665,2024-08,2024-08-01,5010561000
3665,2024-07,2024-07-01,4270645000
3665,2024-06,2024-06-01,4319672000
3665,2024-05,2024-05-01,4501705000
3665,2024-04,2024-04-01,4270952000
3665,2024-03,2024-03-01,3836515000
3665,2024-02,2024-02-01,4256429000
3665,2024-01,2024-01-01,3488338000
3665,2023-12,2023-12-01,4142794000
3665,2023-11,2023-11-01,4486505000
3665,2023-10,2023-10-01,4304914000
4938,2026-08,2026-08-01,86015154000
4938,2026-07,2026-07-01,91295615000
4938,2026-06,2026-06-01,95962959000
4938,2026-05,2026-05-01,87189236000
4938,2026-04,2026-04-01,83964774000
4938,2026-03,2026-03-01,67982207000
4938,2026-02,2026-02-01,92158230000
4938,2026-01,2026-01-01,99893947000
4938,2025-12,2025-12-01,101800641000
4938,2025-11,2025-11-01,117826131000
4938,2025-10,2025-10-01,114908884000
4938,2025-09,2025-09-01,65843721000
4938,2025-08,2025-08-01,77103455000
4938,2025-07,2025-07-01,78771196000
4938,2025-06,2025-06-01,85685084000
4938,2025-05,2025-05-01,102871394000
4938,2025-04,2025-04-01,84630395000
4938,2025-03,2025-03-01,82478016000
4938,2025-02,2025-02-01,105321840000
4938,2025-01,2025-01-01,102445999000
4938,2024-12,2024-12-01,105757504000
4938,2024-11,2024-11-01,118801102000
4938,2024-10,2024-10-01,109264099000
4938,2024-09,2024-09-01,88437775000
4938,2024-08,2024-08-01,96528903000
4938,2024-07,2024-07-01,70928276000
4938,2024-06,2024-06-01,93103612000
4938,2024-05,2024-05-01,89675820000
4938,2024-04,2024-04-01,74751634000
4938,2024-03,2024-03-01,66296038000
4938,2024-02,2024-02-01,109353732000
4938,2024-01,2024-01-01,83100034000
4938,2023-12,2023-12-01,116781153000
4938,2023-11,2023-11-01,142204362000
4938,2023-10,2023-10-01,132827701000
4938,2023-09,2023-09-01,89353095000
4979,2026-09,2026-09-01,545866000
4979,2026-08,2026-08-01,508777000
4979,2026-07,2026-07-01,455083000
4979,2026-06,2026-06-01,421247000
4979,2026-05,2026-05-01,412778000
4979,2026-04,2026-04-01,451568000
4979,2026-03,2026-03-01,329586000
4979,2026-02,2026-02-01,412324000
4979,2026-01,2026-01-01,421117000
4979,2025-12,2025-12-01,414874000
4979,2025-11,2025-11-01,318369000
4979,2025-10,2025-10-01,290607000
4979,2025-09,2025-09-01,397141000
4979,2025-08,2025-08-01,388346000
4979,2025-07,2025-07-01,356414000
4979,2025-06,2025-06-01,347922000
4979,2025-05,2025-05-01,383150000
4979,2025-04,2025-04-01,375732000
4979,2025-03,2025-03-01,366068000
4979,2025-02,2025-02-01,325106000
4979,2025-01,2025-01-01,351851000
4979,2024-12,2024-12-01,366735000
4979,2024-11,2024-11-01,329524000
4979,2024-10,2024-10-01,324554000
4979,2024-09,2024-09-01,319033000
4979,2024-08,2024-08-01,302044000
4979,2024-07,2024-07-01,267703000
4979,2024-06,2024-06-01,264096000
4979,2024-05,2024-05-01,269469000
4979,2024-04,2024-04-01,263114000
4979,2024-03,2024-03-01,178135000
4979,2024-02,2024-02-01,214785000
4979,2024-01,2024-01-01,293695000
4979,2023-12,2023-12-01,390314000
4979,2023-11,2023-11-01,327755000
4979,2023-10,2023-10-01,299362000
5289,2026-09,2026-09-01,8680123000
5289,2026-08,2026-08-01,8494810000
5289,2026-07,2026-07-01,8207987000
5289,2026-06,2026-06-01,7564591000
5289,2026-05,2026-05-01,6670833000
5289,2026-04,2026-04-01,5672453000
5289,2026-03,2026-03-01,4178683000
5289,2026-02,2026-02-01,3331472000
